StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,resentment1_control,resentment2_control,resentment3_control,resentment4_control,resentment_control_Same,resentment1_men,resentment2_men,resentment3_men,resentment4_men,resentment_men_Same,resentment1_women,resentment2_women,resentment3_women,resentment4_women,resentment_women_Same,resentment1_lgbt,resentment2_lgbt,resentment3_lgbt,resentment4_lgbt,resentment_lgbt_Same,attention_check,sexism1_control,sexism2_control,sexism3_control,sexism4_control,sexism5_control,sexism_control_Same,sexism1_white,sexism2_white,sexism3_white,sexism4_white,sexism5_white,sexism_white_Same,sexism1_black,sexism2_black,sexism3_black,sexism4_black,sexism5_black,sexism_black_Same,sexism1_lgbt,sexism2_lgbt,sexism3_lgbt,sexism4_lgbt,sexism5_lgbt,sexism_lgbt_Same,manip_check,ideology,sexual_orientation,gender,religion,italian,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,question_order,resentment_treat,sexism_treat
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are being asked to volunteer in a research study. The purpose of the study is to better understand what everyday people think about politics in the U.S. If you agree to participate, your part will be to read a set of instructions and answer some short questions. It should take around 3 minutes of your time. Your answers are anonymous and handled with full confidentiality. There are no foreseeable risks or costs to you for participating in this study. Your participation is completely voluntary. You do not have to participate if you do not want to. If you have any questions, concerns, or complaints about the study, you may contact Ryan Bell at rwbell@princeton.edu. You can also contact the Princeton University Institutional Review Board at irb@princeton.edu. If you answer ""I would like to participate"" below, it means that you have read the information contained in this form and would like to be a volunteer in this research study.","The Irish,
	Italian, Jewish, and many other minorities overcame prejudice and
	worked their way up.  Black people should do the same without any
	special favors.",Generations of slavery and discrimination have created conditions that make it difficult for Black people to work their way out of the lower class.,"Over the past few years, Black people have gotten less than they deserve.",It’s really a matter of some people not trying hard enough; if Black people would only try harder they could be just as well off as white people.,,"The Irish,
	Italian, Jewish, and many other minorities overcame prejudice and
	worked their way up.  Black men should do the same without any
	special favors.",Generations of slavery and discrimination have created conditions that make it difficult for Black men to work their way out of the lower class.,"Over the past few years, Black men have gotten less than they deserve.",It’s really a matter of some people not trying hard enough; if Black men would only try harder they could be just as well off as white people.,,"The Irish,
	Italian, Jewish, and many other minorities overcame prejudice and
	worked their way up.  Black women should do the same without any
	special favors.",Generations of slavery and discrimination have created conditions that make it difficult for Black women to work their way out of the lower class.,"Over the past few years, Black women have gotten less than they deserve.",It’s really a matter of some people not trying hard enough; if Black women would only try harder they could be just as well off as white people.,,"The Irish,
	Italian, Jewish, and many other minorities overcame prejudice and
	worked their way up. Lesbian, gay, bisexual, and trans Black people should do the same without any
	special favors.","Generations of slavery and discrimination have created conditions that make it difficult for lesbian, gay, bisexual, and trans Black people to work their way out of the lower class.","Over the past few years, lesbian, gay, bisexual, and trans Black people have gotten less than they deserve.","It’s really a matter of some people not trying hard enough; if lesbian, gay, bisexual, and trans Black people would only try harder they could be just as well off as white people.",,Stereotypes about women are often unfair; check both answers that include ‘Strongly’ regardless of how you feel.,"Discrimination
against women is no longer a problem in the United States.","On
		average, women have lower incomes than men.","Society
has reached the point where women and men have equal opportunities
for achievement.","Over
the past few years, the government and news media have been showing
more concern about the treatment of women than is warranted by
women's actual experiences.","It
		is easy to understand why women's groups are still concerned about
		societal limitations of women's opportunities.",,"Discrimination
against white women is no longer a problem in the United States.","On
		average, white women have lower incomes than men.","Society
has reached the point where white women and men have equal opportunities
for achievement.","Over
the past few years, the government and news media have been showing
more concern about the treatment of white women than is warranted by
women's actual experiences.","It
		is easy to understand why women's groups are still concerned about
		societal limitations of white women's opportunities.",,"Discrimination
against Black women is no longer a problem in the United States.","On
		average, Black women have lower incomes than men.","Society
has reached the point where Black women and men have equal opportunities
for achievement.","Over
the past few years, the government and news media have been showing
more concern about the treatment of Black women than is warranted by
women's actual experiences.","It
		is easy to understand why women's groups are still concerned about
		societal limitations of Black women's opportunities.",,"Discrimination
against lesbian, bisexual, and trans women is no longer a problem in the United States.","On
		average, lesbian, bisexual, and trans women have lower incomes than men.","Society
has reached the point where lesbian, bisexual, and trans women and men have equal opportunities
for achievement.","Over
the past few years, the government and news media have been showing
more concern about the treatment of lesbian, bisexual, and trans women than is warranted by
women's actual experiences.","It
		is easy to understand why women's groups are still concerned about
		societal limitations of lesbian, bisexual, and gender women's opportunities.",,Which group(s) of people were you asked about in the previous sets of questions? Select all that apply.,"When it comes to politics, how do you typically think of yourself politically?",Which of these terms best describes your sexual orientation?,Which of these terms best describes your gender identity?,"What is your present religion, if any?",Are you Italian or Irish?,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,question_order,resentment_treat,sexism_treat
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID19""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}",,"{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}",,"{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}",,"{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}",,"{""ImportId"":""QID45""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}",,"{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}",,"{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}",,"{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}",,"{""ImportId"":""QID53""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""rid""}","{""ImportId"":""age""}","{""ImportId"":""gender""}","{""ImportId"":""hhi""}","{""ImportId"":""ethnicity""}","{""ImportId"":""hispanic""}","{""ImportId"":""education""}","{""ImportId"":""political_party""}","{""ImportId"":""region""}","{""ImportId"":""zip""}","{""ImportId"":""question_order""}","{""ImportId"":""resentment_treat""}","{""ImportId"":""sexism_treat""}"
2020-07-01 13:25:57,2020-07-01 13:26:54,IP Address,*******,100,57,True,2020-07-01 13:26:55,R_1eFEd20bjeDqtZM,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,Strongly agree,Strongly agree,Strongly agree,Strongly agree,TRUE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce31b-ce13-9fb0-dec6-2bb10959f197,50,1,19,1,1,7,10,3,30127,0,0,1
2020-07-01 13:26:37,2020-07-01 13:27:26,IP Address,*******,100,49,True,2020-07-01 13:27:26,R_ZwTvgEKCC9pvYDn,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,Agree,Strongly agree,Strongly agree,Agree,Agree,FALSE,,,,,,FALSE,,,,,,,5efce34a-5b6a-cc66-3ed3-1139db7f4ab9,45,1,20,1,1,7,1,2,67218,1,2,2
2020-07-01 13:25:40,2020-07-01 13:27:50,IP Address,*******,100,130,True,2020-07-01 13:27:50,R_1FzIzYfWxJe5G0C,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Strongly disagree,Strongly agree,Strongly agree,Disagree,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Somewhat agree,FALSE,,,,,,FALSE,,,,,,FALSE,"Black people,Black women,Women,White women",Extremely liberal,Heterosexual,Woman,Roman Catholic,No,5efce316-f824-3768-c01c-8cf0acf9b5f0,46,2,10,8,1,5,1,4,90020,0,2,1
2020-07-01 13:27:51,2020-07-01 13:28:27,IP Address,*******,100,36,True,2020-07-01 13:28:27,R_6eSJpnvH63cBSmd,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,TRUE,,,,,FALSE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce386-d9ae-99bc-c14b-6e93ba9cad97,50,1,24,1,1,7,10,1,10009,0,2,2
2020-07-01 13:28:12,2020-07-01 13:30:26,IP Address,*******,100,134,True,2020-07-01 13:30:27,R_3R2ff1VZRdPf37c,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,,,,,,FALSE,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,FALSE,,,,,,FALSE,Women,Slightly conservative,Heterosexual,Man,Roman Catholic,No,5efce3c5-0cf2-b0fa-bc7d-c33314760fa4,67,1,5,1,1,2,9,1,7522,1,2,2
2020-07-01 13:28:34,2020-07-01 13:30:51,IP Address,*******,100,137,True,2020-07-01 13:30:51,R_BWdjMHGAEptoolb,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly Agree,,,,,,FALSE,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce3ba-4a32-a81c-bb41-df26fa57b4ca,40,1,24,1,1,7,1,1,11201,1,3,1
2020-07-01 13:27:44,2020-07-01 13:30:52,IP Address,*******,100,187,True,2020-07-01 13:30:52,R_3oO97UGL4auYNJb,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,Disagree,Strongly agree,Strongly agree,Strongly disagree,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,"Strongly Agree,Strongly disagree",,,,,,FALSE,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,FALSE,,,,,,FALSE,,,,,,FALSE,"Black people,White women",Moderate or middle of the road,Heterosexual,Woman,Other,No,5efce372-0bea-dd31-79e8-32ffb97e363f,30,2,24,2,1,6,1,1,11233,0,0,1
2020-07-01 13:31:52,2020-07-01 13:32:30,IP Address,*******,100,38,True,2020-07-01 13:32:30,R_1CsHn2orVVCNAHw,*******,*******,*******,*******,*******,*******,anonymous,EN,I would like to participate,,,,,FALSE,,,,,FALSE,,,,,FALSE,Strongly agree,Strongly agree,Strongly agree,Strongly agree,TRUE,Strongly Agree,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,FALSE,,,,,,,5efce47e-aeb8-5d91-3dbd-205bab832eb0,46,1,20,1,12,7,10,1,2459,0,3,2
